RAM ADDRESS  |   ACTION   |          BINARY
     513            w           00000     00          01
     446            m           11011     11          10
     857            w           10101     10          01
     524            r           00000     11          00
     224            m           01110     00          00
     495            m           11110     11          11
     119            w           00111     01          11
     140            m           01000     11          00
     375            r           10111     01          11
     7              r           00000     01          11
     90             m           00101     10          10
     737            m           01110     00          01
     696            r           01011     10          00
     901            m           11000     01          01
     886            w           10111     01          10
     541            w           00001     11          01
     826            r           10011     10          10
     170            m           01010     10          10
     289            r           10010     00          01
     340            m           10101     01          00
     949            w           11011     01          01
     766            r           01111     11          10
     537            m           00001     10          01
     30             r           00001     11          10
     391            w           11000     01          11
     972            w           11100     11          00
     765            w           01111     11          01
     281            w           10001     10          01
     306            r           10011     00          10
     161            w           01010     00          01
     719            w           01100     11          11
     100            r           00110     01          00
     220            w           01101     11          00
     465            m           11101     00          01
     376            w           10111     10          00
     548            m           00010     01          00
     718            w           01100     11          10
     242            r           01111     00          10
     580            r           00100     01          00
     258            w           10000     00          10
     1013           r           11111     01          01
     863            r           10101     11          11
     610            w           00110     00          10
     171            m           01010     10          11
     612            m           00110     01          00
     182            m           01011     01          10
     870            r           10110     01          10
     80             r           00101     00          00
     976            m           11101     00          00
     347            w           10101     10          11
     454            w           11100     01          10
     292            w           10010     01          00
     19             m           00001     00          11
     243            r           01111     00          11
     864            r           10110     00          00
     224            w           01110     00          00
     938            w           11010     10          10
     233            m           01110     10          01
     499            r           11111     00          11
     66             m           00100     00          10
     567            m           00011     01          11
     748            m           01110     11          00
     417            w           11010     00          01
     393            r           11000     10          01
     255            r           01111     11          11
     879            r           10110     11          11
     884            r           10111     01          00
     763            m           01111     10          11
     364            m           10110     11          00
     39             f           
     981            m           11101     01          01
     351            w           10101     11          11
     909            r           11000     11          01
     657            w           01001     00          01
     278            w           10001     01          10
     644            w           01000     01          00
     145            r           01001     00          01
     618            r           00110     10          10
     490            r           11110     10          10
     952            r           11011     10          00
     336            m           10101     00          00
     53             m           00011     01          01
     1000           w           11110     10          00
     81             r           00101     00          01
     194            r           01100     00          10
     953            r           11011     10          01
     524            r           00000     11          00
     40             w           00010     10          00
     645            w           01000     01          01
     640            m           01000     00          00
     821            m           10011     01          01
     537            w           00001     10          01
     348            r           10101     11          00
     601            r           00101     10          01
     168            m           01010     10          00
     645            r           01000     01          01
     426            m           11010     10          10
     982            r           11101     01          10
     139            r           01000     10          11
     464            r           11101     00          00
     1019           m           11111     10          11
     207            m           01100     11          11
     107            m           00110     10          11
     739            m           01110     00          11
     892            r           10111     11          00
     733            r           01101     11          01
     951            r           11011     01          11
     426            r           11010     10          10
     126            m           00111     11          10
     480            r           11110     00          00
     578            r           00100     00          10
     407            r           11001     01          11
     759            m           01111     01          11
     634            m           00111     10          10
     709            m           01100     01          01
     30             m           00001     11          10
     257            r           10000     00          01
     146            r           01001     00          10
     347            r           10101     10          11
     823            w           10011     01          11
     345            w           10101     10          01
     465            w           11101     00          01
     516            w           00000     01          00
     991            w           11101     11          11
     481            m           11110     00          01
     40             m           00010     10          00
     802            m           10010     00          10
     151            w           01001     01          11
     542            m           00001     11          10
     72             w           00100     10          00
     1023           m           11111     11          11
     995            m           11110     00          11
     442            w           11011     10          10
     41             m           00010     10          01
     837            m           10100     01          01
     716            m           01100     11          00
     772            m           10000     01          00
     388            r           11000     01          00
     388            w           11000     01          00
     863            m           10101     11          11
     363            r           10110     10          11
     89             w           00101     10          01
     943            m           11010     11          11
     812            w           10010     11          00
     7              r           00000     01          11
     361            m           10110     10          01
     415            w           11001     11          11
     456            r           11100     10          00
     16             r           00001     00          00
     188            m           01011     11          00
     143            r           01000     11          11
     843            w           10100     10          11
     868            r           10110     01          00
     29             r           00001     11          01
     415            w           11001     11          11
     723            w           01101     00          11
     774            w           10000     01          10
     410            r           11001     10          10
     81             w           00101     00          01
     255            m           01111     11          11
     410            r           11001     10          10
     517            r           00000     01          01
     271            m           10000     11          11
     628            m           00111     01          00
     490            m           11110     10          10
     885            r           10111     01          01
     931            r           11010     00          11
     604            r           00101     11          00
     355            m           10110     00          11
     965            w           11100     01          01
     445            w           11011     11          01
     226            m           01110     00          10
     665            r           01001     10          01
     787            m           10001     00          11
     368            m           10111     00          00
     439            m           11011     01          11
     959            r           11011     11          11
     579            w           00100     00          11
     949            r           11011     01          01
     657            w           01001     00          01
     303            r           10010     11          11
     378            w           10111     10          10
     743            r           01110     01          11
     422            r           11010     01          10
     1000           w           11110     10          00
     675            r           01010     00          11
     326            m           10100     01          10
     53             w           00011     01          01
     11             r           00000     10          11
     1005           w           11110     11          01
     884            w           10111     01          00
     253            w           01111     11          01
     862            r           10101     11          10
     587            m           00100     10          11
     763            m           01111     10          11
     708            m           01100     01          00
     969            m           11100     10          01
     1011           w           11111     00          11
     197            m           01100     01          01
     722            w           01101     00          10
     476            m           11101     11          00
     736            w           01110     00          00
     930            m           11010     00          10
     883            r           10111     00          11
     838            m           10100     01          10
     848            m           10101     00          00
     710            m           01100     01          10
     633            w           00111     10          01
     351            m           10101     11          11
     582            w           00100     01          10
     72             m           00100     10          00
     951            m           11011     01          11
     927            r           11001     11          11
     9              r           00000     10          01
     932            w           11010     01          00
     903            r           11000     01          11
     549            m           00010     01          01
     675            w           01010     00          11
     57             r           00011     10          01
     325            w           10100     01          01
     49             w           00011     00          01
     99             m           00110     00          11
     972            w           11100     11          00
     466            r           11101     00          10
     682            r           01010     10          10
     604            m           00101     11          00
     259            w           10000     00          11
     530            r           00001     00          10
     665            w           01001     10          01
     739            r           01110     00          11
     491            w           11110     10          11
     366            r           10110     11          10
     940            w           11010     11          00
     21             w           00001     01          01
     627            w           00111     00          11
     83             m           00101     00          11
     692            m           01011     01          00
     591            r           00100     11          11
     751            r           01110     11          11
     689            m           01011     00          01
     39             r           00010     01          11
     692            m           01011     01          00
     662            w           01001     01          10
     636            m           00111     11          00
     671            w           01001     11          11
     427            r           11010     10          11
     516            w           00000     01          00
     559            m           00010     11          11
     345            w           10101     10          01
     349            m           10101     11          01
     441            w           11011     10          01
     836            m           10100     01          00
     695            r           01011     01          11
     59             r           00011     10          11
     151            m           01001     01          11
     189            r           01011     11          01
     703            m           01011     11          11
     887            m           10111     01          11
     616            w           00110     10          00
     414            r           11001     11          10
     409            m           11001     10          01
     390            r           11000     01          10
     598            m           00101     01          10
     881            m           10111     00          01
     533            m           00001     01          01
     165            r           01010     01          01
     369            r           10111     00          01
     193            m           01100     00          01
     34             m           00010     00          10
     336            m           10101     00          00
     301            w           10010     11          01
     927            m           11001     11          11
     856            m           10101     10          00
     204            r           01100     11          00
     481            m           11110     00          01
     32             r           00010     00          00
     367            r           10110     11          11
     926            r           11001     11          10
     329            w           10100     10          01
     732            r           01101     11          00
     198            r           01100     01          10
     18             w           00001     00          10
     261            r           10000     01          01
     881            m           10111     00          01
     733            w           01101     11          01
     182            m           01011     01          10
     279            m           10001     01          11
     766            r           01111     11          10
     731            r           01101     10          11
     732            m           01101     11          00
     617            r           00110     10          01
     681            w           01010     10          01
     10             w           00000     10          10
     283            w           10001     10          11
     325            w           10100     01          01
     537            w           00001     10          01
     85             r           00101     01          01
     462            w           11100     11          10
     987            w           11101     10          11
     509            r           11111     11          01
     721            m           01101     00          01
     404            m           11001     01          00
     191            w           01011     11          11
     643            w           01000     00          11
     561            w           00011     00          01
     462            m           11100     11          10
     360            w           10110     10          00
     481            w           11110     00          01
     848            w           10101     00          00
     805            m           10010     01          01
     178            r           01011     00          10
     720            m           01101     00          00
     939            m           11010     10          11
     1              m           00000     00          01
     349            w           10101     11          01
     780            r           10000     11          00
     996            r           11110     01          00
     786            w           10001     00          10
     139            r           01000     10          11
     470            w           11101     01          10
     576            m           00100     00          00
     459            w           11100     10          11
     70             r           00100     01          10
     626            m           00111     00          10
     298            r           10010     10          10
     738            w           01110     00          10
     504            m           11111     10          00
     680            r           01010     10          00
     430            m           11010     11          10
     210            r           01101     00          10
     241            w           01111     00          01
     327            w           10100     01          11
     511            m           11111     11          11
     90             r           00101     10          10
     229            m           01110     01          01
     158            m           01001     11          10
     1010           m           11111     00          10
     763            r           01111     10          11
     107            r           00110     10          11
     257            w           10000     00          01
     896            m           11000     00          00
     381            r           10111     11          01
     895            r           10111     11          11
     842            r           10100     10          10
     328            r           10100     10          00
     618            w           00110     10          10
     513            w           00000     00          01
     853            w           10101     01          01
     267            w           10000     10          11
     145            w           01001     00          01
     564            w           00011     01          00
     643            m           01000     00          11
     46             w           00010     11          10
     389            w           11000     01          01
     832            m           10100     00          00
     569            r           00011     10          01
     59             r           00011     10          11
     28             m           00001     11          00
     944            r           11011     00          00
     606            m           00101     11          10
     352            m           10110     00          00
     753            r           01111     00          01
     1012           m           11111     01          00
     992            m           11110     00          00
     238            r           01110     11          10
     738            w           01110     00          10
     224            r           01110     00          00
     815            r           10010     11          11
     987            m           11101     10          11
     402            m           11001     00          10
     555            w           00010     10          11
     703            m           01011     11          11
     321            w           10100     00          01
     1000           w           11110     10          00
     241            m           01111     00          01
     395            m           11000     10          11
     222            f           
     142            w           01000     11          10
RAM ADDRESS  |   ACTION   |          BINARY
-------------|------------|    TAG  |  INDEX |BLOCKOFFSET  
-------------|------------|---------|--------|---------------
